description,category,priority
Deep pothole on Main Street near 5th Avenue causing traffic slowdowns.,Road,Medium
"Massive asphalt crater near downtown bridge, cars taking heavy wheel damage.",Road,High
"Whole section of Highway 9 collapsed after heavy rain, completely blocking lane.",Road,Critical
Faded zebra crossing lines in front of St Jude Elementary School.,Road,Low
Minor crack on sidewalk near Oak Street park entrance.,Road,Low
Large sinkhole opening up rapidly on Elm Street intersection.,Road,Critical
Broken guardrail along mountain pass curve posing severe safety hazard.,Road,Critical
Speed bump damaged and broken pieces loose on road near residential alley.,Road,Medium
Uneven pavement causing bicycles to trip on 12th Street bikeway.,Road,Low
Manhole cover loose and rattling loudly whenever heavy trucks pass.,Road,Medium
Dislodged paving stones on pedestrian walkway near city hall.,Road,Low
Road construction debris left unattended blocking right turn lane.,Road,Medium
Dangerous cave-in under street surface on Commercial Boulevard.,Road,Critical
Loose gravel spread across busy intersection causing skidding.,Road,Medium
Sunken road section collecting deep puddle on 4th Street.,Road,Low
Cracked curb stone along Maple Avenue needs repair.,Road,Low
Multiple potholes along 3km stretch of Ring Road causing traffic jams.,Road,High
Asphalt peeling off heavily after winter freeze on Northern Highway.,Road,High
Dangerous pothole concealed by rainwater outside metro entrance.,Road,High
Missing curb ramp for wheelchair access at Central Bus Stop.,Road,Low
Street asphalt buckling up due to extreme heat on South Avenue.,Road,High
Deep fissure running across two lanes of West Expressway.,Road,High
Temporary road trench left open without caution markers.,Road,Critical
Damaged speed humps near school zone need repainting and fixing.,Road,Medium
Caved-in storm road shoulder near riverside drive.,Road,High
Small potholes forming on Pine Street cul-de-sac.,Road,Low
Road reflector studs missing on unlit sharp turn.,Road,Medium
Heavy construction truck cracked the asphalt drive in front of library.,Road,Low
Bridge approach slab has a steep bump causing vehicles to launch.,Road,High
Unsurfaced road section causing immense dust and tire punctures.,Road,Medium
Overturned barrier left in middle lane on Bypass Road.,Road,Critical
Collapsed retention wall dumping rocks on mountain road lane.,Road,Critical
Worn out street surface making road extremely slick during rain.,Road,Medium
Pothole damaged front axle of city bus at terminal ramp.,Road,High
Small gravel accumulation on corner of 9th Street.,Road,Low
Burst water main gushing high-pressure water flooding entire avenue.,Water/Drainage,Critical
Contaminated tap water running brown and foul-smelling in Sector 4.,Water/Drainage,Critical
Blocked storm drain causing severe street flooding after moderate rain.,Water/Drainage,High
Low water pressure in 5-story residential building for 3 days.,Water/Drainage,Medium
Leaking water pipe dripping steadily near public fountain.,Water/Drainage,Low
Open sewer line overflowing into public park playground area.,Water/Drainage,Critical
Stagnant green water pooling in clogged roadside gutter.,Water/Drainage,Medium
No municipal water supply in entire colony for past 24 hours.,Water/Drainage,High
"Drain cover broken, leaving deep open drainage pit on sidewalk.",Water/Drainage,Critical
Foul smell coming from choked drainage outlet near market.,Water/Drainage,Medium
Water supply pipe leaking onto private property driveway.,Water/Drainage,Low
Backflow of sewage water into residential basements.,Water/Drainage,Critical
Slow drainage on 7th Street after rain showers.,Water/Drainage,Low
Ruptured underground water supply line near city hospital.,Water/Drainage,Critical
Drainage culvert clogged with fallen tree branches and rubbish.,Water/Drainage,High
Murky water coming out of kitchen taps in Apartment Block B.,Water/Drainage,High
Water meter leaking at joint in front of house #42.,Water/Drainage,Low
Stormwater channel blocked by construction silt runoff.,Water/Drainage,High
Heavy sewage leak polluting local community pond.,Water/Drainage,High
Water valve box lid broken in middle of walking path.,Water/Drainage,Medium
Irrigation pipe broken in public garden wasting water.,Water/Drainage,Low
No water pressure on upper floors of Green View complex.,Water/Drainage,Medium
Smelly wastewater leaking from commercial kitchen drain into street.,Water/Drainage,Medium
Main sewer pipe collapsed causing road sinkage and raw sewage overflow.,Water/Drainage,Critical
Water pipe joint whistling and spraying mist on sidewalk.,Water/Drainage,Low
Clogged storm inlet causing water to flood grocery store basement.,Water/Drainage,High
Intermittent water supply schedule disrupted without notice.,Water/Drainage,Medium
Chemical taste noticed in municipal drinking water.,Water/Drainage,Critical
Drainage grate missing near bus stop pose hazard to pedestrians.,Water/Drainage,High
Water tanker delivery delayed by 4 hours in water-scarce area.,Water/Drainage,Medium
Street gutter filled with dried mud blocking water flow.,Water/Drainage,Low
Small water leak around fire hydrant base.,Water/Drainage,Low
Unsealed sewer inspection chamber emitting toxic gas fumes.,Water/Drainage,High
Flooded underpass due to pump failure in heavy thunderstorm.,Water/Drainage,Critical
Algae buildup in public drinking water fountain basin.,Water/Drainage,Low
"Garbage dump bin overflowing onto road, attracting stray animals and pests.",Waste,High
Illegal dumping of construction debris along woodland path.,Waste,Medium
"Community waste bin not emptied for over 5 days, severe stench.",Waste,High
Hazardous medical waste dumped in open alley behind clinic.,Waste,Critical
Litter and plastic bottles scattered across Central Park lawn.,Waste,Low
Broken garbage container leaking smelly liquid onto pavement.,Waste,Medium
Dead stray dog lying on roadside needs immediate sanitary disposal.,Waste,High
Commercial waste piled up behind food street market overnight.,Waste,Medium
Recycling collection skipped two consecutive weeks on Sector B.,Waste,Low
Toxic chemical containers abandoned near river bank.,Waste,Critical
Small pile of dry leaves and garden waste waiting on curb.,Waste,Low
Garbage truck spilled trash along 2km stretch of main road.,Waste,Medium
Trash bins missing lids allowing rain to fill bins with dirty water.,Waste,Low
Open burning of plastic garbage behind residential sector.,Waste,High
Excessive fly infestation due to uncollected fish market waste.,Waste,High
Public park trash cans overflowing with picnic food wrappers.,Waste,Low
Industrial sludge dumped illegally in empty plot.,Waste,Critical
Garbage pickup missed our street on scheduled Tuesday morning.,Waste,Low
Accumulated plastic bags clogging open drain near vegetable market.,Waste,Medium
Compactor trash bin jammed open with bulky furniture.,Waste,Medium
Biohazard waste bags spotted near dumpsters behind laboratory.,Waste,Critical
Rotting food waste dumped on corner of Residential Block 9.,Waste,Medium
Street sweepers missed cleaning side streets for a week.,Waste,Low
Old mattresses and broken glass dumped near school gates.,Waste,High
Construction concrete waste blocking pedestrian footpath.,Waste,Medium
Discarded car batteries left leaking acid near playground.,Waste,Critical
"Trash bin smells extremely bad, requires washing and disinfection.",Waste,Low
Overflowing dumpsters spilling onto active roadway.,Waste,High
Plastic bags floating in public pond due to uncollected waste.,Waste,Low
E-waste abandoned in public parking lot.,Waste,Low
Unattended pile of cardboard boxes blocking fire exit lane.,Waste,High
Glass shards from broken bottles scattered around children play zone.,Waste,Critical
Food court grease trap overflow leaking onto rear alley.,Waste,Medium
Dustbins stolen from three consecutive street corners.,Waste,Low
Fly tipping of renovation tiles and plaster in alleyway.,Waste,Medium
